municipio;data;temperatura_max;temperatura_min;temperatura_media;precipitacao
Caruaru;2024-12-11;30.9;20.4;24.7;0.7
Caruaru;2024-12-12;31.9;21.0;25.3;0.0
Caruaru;2024-12-13;31.0;20.1;24.9;0.0
Caruaru;2024-12-14;29.2;20.6;;
Caruaru;2024-12-15;;;;
Caruaru;2024-12-16;;;;
Petrolina;2024-10-17;33.7;23.7;27.9;13.0
Petrolina;2024-10-18;26.2;22.7;24.3;12.5
Petrolina;2024-10-19;32.8;23.3;27.6;0.1
Petrolina;2024-10-20;32.8;23.2;27.7;0.2
Petrolina;2024-10-21;33.5;22.5;27.7;0.0
Petrolina;2024-10-22;34.8;22.1;28.1;0.0
Petrolina;2024-10-23;34.6;20.8;27.9;0.0
Petrolina;2024-10-24;35.6;22.2;29.1;0.0
Petrolina;2024-10-25;35.4;23.1;29.6;0.0
Petrolina;2024-10-26;36.7;23.4;30.2;0.0
Petrolina;2024-10-27;37.7;23.7;30.9;0.0
Petrolina;2024-10-28;35.6;24.1;30.0;0.0
Petrolina;2024-10-29;35.3;22.3;29.6;0.0
Petrolina;2024-10-30;35.4;23.0;29.6;0.0
Petrolina;2024-10-31;35.8;22.8;29.8;0.0
Petrolina;2024-11-01;35.9;23.5;30.0;0.0
Petrolina;2024-11-02;36.7;23.8;30.2;0.0
Petrolina;2024-11-03;35.6;22.8;29.3;0.0
Petrolina;2024-11-04;35.3;22.7;29.2;0.0
Petrolina;2024-11-05;35.6;22.6;29.2;0.0
Petrolina;2024-11-06;35.6;23.4;29.7;0.0
Petrolina;2024-11-07;35.5;23.4;29.7;0.0
Petrolina;2024-11-08;36.0;23.6;30.4;0.0
Petrolina;2024-11-09;36.2;25.1;31.0;0.0
Petrolina;2024-11-10;37.0;25.7;30.6;0.2
Petrolina;2024-11-11;31.6;23.9;26.6;7.4
Petrolina;2024-11-12;28.0;22.8;25.4;0.1
Petrolina;2024-11-13;31.9;22.9;27.2;0.3
Petrolina;2024-11-14;33.5;23.1;28.4;0.0
Petrolina;2024-11-15;34.3;21.6;27.8;0.0
Petrolina;2024-11-16;34.4;21.9;28.2;0.2
Petrolina;2024-11-17;34.2;22.3;28.5;0.0
Petrolina;2024-11-18;34.7;22.6;28.7;0.0
Petrolina;2024-11-19;34.9;23.0;29.4;0.0
Petrolina;2024-11-20;35.5;24.0;30.1;0.0
Petrolina;2024-11-21;35.3;25.3;30.7;0.0
Petrolina;2024-11-22;36.4;26.5;31.5;0.2
Petrolina;2024-11-23;35.5;25.8;30.2;0.6
Petrolina;2024-11-24;34.5;24.8;29.2;0.5
Petrolina;2024-11-25;25.3;22.5;23.8;33.6
Petrolina;2024-11-26;28.6;22.5;25.5;2.0
Petrolina;2024-11-27;30.9;22.6;26.5;0.6
Petrolina;2024-11-28;32.0;22.2;27.0;0.0
Petrolina;2024-11-29;33.8;21.9;27.9;0.0
Petrolina;2024-11-30;34.7;22.6;28.7;0.0
Petrolina;2024-12-01;34.5;22.6;29.1;0.0
Petrolina;2024-12-02;34.6;23.4;29.3;0.0
Petrolina;2024-12-03;33.6;24.1;29.0;0.7
Petrolina;2024-12-04;33.1;24.3;28.8;1.4
Petrolina;2024-12-05;33.3;24.2;28.8;0.1
Petrolina;2024-12-06;33.2;23.1;28.4;0.0
Petrolina;2024-12-07;34.3;23.9;28.7;0.0
Petrolina;2024-12-08;32.7;24.2;28.7;0.2
Petrolina;2024-12-09;35.2;23.8;29.6;0.0
Petrolina;2024-12-10;35.1;22.9;29.1;0.0
Petrolina;2024-12-11;35.5;23.1;29.8;0.0
Petrolina;2024-12-12;36.7;25.6;31.4;0.0
Petrolina;2024-12-13;35.9;24.7;30.3;0.0
Petrolina;2024-12-14;34.3;22.9;;
Petrolina;2024-12-15;;;;
Petrolina;2024-12-16;;;;
Garanhuns;2024-10-17;25.5;18.0;21.1;1.5
Garanhuns;2024-10-18;25.3;18.1;20.5;5.1
Garanhuns;2024-10-19;25.9;16.9;21.3;1.0
Garanhuns;2024-10-20;26.9;16.4;20.8;0.0
Garanhuns;2024-10-21;26.9;16.2;20.8;0.1
Garanhuns;2024-10-22;25.7;16.3;20.1;0.1
Garanhuns;2024-10-23;25.4;16.2;20.1;0.0
Garanhuns;2024-10-24;25.9;16.1;20.2;0.2
Garanhuns;2024-10-25;26.9;16.0;20.6;0.0
Garanhuns;2024-10-26;28.1;15.5;20.9;0.0
Garanhuns;2024-10-27;27.5;17.0;21.5;0.4
Garanhuns;2024-10-28;26.4;16.7;21.2;0.1
Garanhuns;2024-10-29;25.9;15.8;20.2;0.1
Garanhuns;2024-10-30;28.1;15.5;20.9;0.0
Garanhuns;2024-10-31;28.1;15.9;21.5;0.0
Garanhuns;2024-11-01;27.6;16.8;21.2;0.0
Garanhuns;2024-11-02;26.5;17.1;21.2;0.2
Garanhuns;2024-11-03;26.9;16.5;20.6;0.0
Garanhuns;2024-11-04;26.8;15.9;20.3;0.0
Garanhuns;2024-11-05;26.0;15.2;20.2;0.1
Garanhuns;2024-11-06;27.3;15.4;20.4;0.0
Garanhuns;2024-11-07;27.2;16.3;20.8;0.0
Garanhuns;2024-11-08;28.4;16.3;21.2;0.4
Garanhuns;2024-11-09;28.8;17.4;22.1;0.0
Garanhuns;2024-11-10;29.3;16.2;22.1;0.0
Garanhuns;2024-11-11;28.0;17.5;22.2;0.1
Garanhuns;2024-11-12;28.6;18.0;22.4;0.0
Garanhuns;2024-11-13;28.7;17.0;22.0;0.0
Garanhuns;2024-11-14;27.5;16.4;21.0;0.0
Garanhuns;2024-11-15;25.9;16.5;20.4;0.5
Garanhuns;2024-11-16;25.7;17.2;20.6;1.0
Garanhuns;2024-11-17;27.3;17.4;21.1;0.3
Garanhuns;2024-11-18;25.8;17.2;20.9;1.1
Garanhuns;2024-11-19;28.1;16.7;21.6;0.0
Garanhuns;2024-11-20;27.9;18.0;22.3;0.6
Garanhuns;2024-11-21;29.5;17.5;22.9;0.3
Garanhuns;2024-11-22;29.4;17.6;23.4;0.1
Garanhuns;2024-11-23;31.5;18.8;24.3;0.1
Garanhuns;2024-11-24;29.1;18.8;23.7;1.1
Garanhuns;2024-11-25;27.6;19.0;21.8;4.6
Garanhuns;2024-11-26;28.8;17.7;22.5;0.0
Garanhuns;2024-11-27;28.0;16.9;21.6;0.0
Garanhuns;2024-11-28;27.7;16.8;21.6;0.0
Garanhuns;2024-11-29;28.4;17.5;22.1;0.0
Garanhuns;2024-11-30;28.5;16.7;21.9;0.0
Garanhuns;2024-12-01;30.0;16.1;22.5;0.0
Garanhuns;2024-12-02;28.4;18.4;22.1;0.7
Garanhuns;2024-12-03;28.9;18.1;22.5;0.1
Garanhuns;2024-12-04;27.2;18.0;21.6;1.9
Garanhuns;2024-12-05;27.5;17.4;21.7;0.0
Garanhuns;2024-12-06;26.8;17.1;21.3;0.0
Garanhuns;2024-12-07;26.6;16.8;20.8;3.1
Garanhuns;2024-12-08;27.6;17.5;21.6;0.4
Garanhuns;2024-12-09;28.4;17.2;21.8;0.0
Garanhuns;2024-12-10;28.0;16.7;21.7;0.0
Garanhuns;2024-12-11;28.7;17.5;22.5;0.4
Garanhuns;2024-12-12;30.6;18.7;23.5;0.0
Garanhuns;2024-12-13;29.2;17.8;22.2;0.1
Garanhuns;2024-12-14;27.0;18.1;;
Garanhuns;2024-12-15;;;;
Garanhuns;2024-12-16;;;;
Serra Talhada;2024-10-17;31.6;23.5;28.1;0.0
Serra Talhada;2024-10-18;31.5;24.5;28.0;0.8
Serra Talhada;2024-10-19;33.9;23.6;29.0;0.2
Serra Talhada;2024-10-20;35.0;22.3;29.0;0.0
Serra Talhada;2024-10-21;36.3;21.7;28.9;0.0
Serra Talhada;2024-10-22;35.3;21.9;28.6;0.0
Serra Talhada;2024-10-23;34.7;21.1;28.0;0.0
Serra Talhada;2024-10-24;35.3;22.5;28.9;0.0
Serra Talhada;2024-10-25;35.5;21.6;29.1;0.0
Serra Talhada;2024-10-26;36.8;21.3;29.5;0.0
Serra Talhada;2024-10-27;37.2;21.6;29.7;0.0
Serra Talhada;2024-10-28;36.1;23.4;29.6;0.0
Serra Talhada;2024-10-29;35.0;21.4;28.7;0.0
Serra Talhada;2024-10-30;34.9;21.6;29.2;0.0
Serra Talhada;2024-10-31;35.8;21.6;29.5;0.0
Serra Talhada;2024-11-01;37.2;22.9;29.8;0.0
Serra Talhada;2024-11-02;36.1;22.6;29.6;0.0
Serra Talhada;2024-11-03;36.3;22.0;29.2;0.0
Serra Talhada;2024-11-04;35.7;21.7;29.0;0.0
Serra Talhada;2024-11-05;35.3;21.5;28.8;0.0
Serra Talhada;2024-11-06;35.5;22.6;29.3;0.0
Serra Talhada;2024-11-07;35.4;22.9;29.2;0.0
Serra Talhada;2024-11-08;35.4;22.2;29.3;0.0
Serra Talhada;2024-11-09;37.0;22.8;30.2;0.0
Serra Talhada;2024-11-10;36.8;22.6;30.2;0.0
Serra Talhada;2024-11-11;35.9;23.7;29.4;1.2
Serra Talhada;2024-11-12;33.2;24.7;28.2;0.2
Serra Talhada;2024-11-13;35.9;23.6;29.9;0.3
Serra Talhada;2024-11-14;37.1;21.9;29.3;0.0
Serra Talhada;2024-11-15;34.9;22.1;28.4;0.0
Serra Talhada;2024-11-16;35.9;21.8;28.8;0.0
Serra Talhada;2024-11-17;35.4;22.3;29.0;0.0
Serra Talhada;2024-11-18;35.9;22.8;29.4;0.0
Serra Talhada;2024-11-19;35.0;22.8;29.3;0.0
Serra Talhada;2024-11-20;36.0;23.2;30.0;0.1
Serra Talhada;2024-11-21;35.4;23.5;29.9;0.0
Serra Talhada;2024-11-22;35.9;24.2;30.4;0.0
Serra Talhada;2024-11-23;36.1;23.8;30.1;0.0
Serra Talhada;2024-11-24;36.1;24.6;30.4;0.2
Serra Talhada;2024-11-25;32.3;22.8;26.9;2.4
Serra Talhada;2024-11-26;34.6;23.8;28.8;0.3
Serra Talhada;2024-11-27;35.6;22.5;29.3;0.0
Serra Talhada;2024-11-28;37.3;22.4;30.1;0.0
Serra Talhada;2024-11-29;36.8;22.6;30.1;0.0
Serra Talhada;2024-11-30;37.0;22.8;30.1;0.0
Serra Talhada;2024-12-01;36.6;23.8;30.5;0.0
Serra Talhada;2024-12-02;36.1;23.7;29.9;0.2
Serra Talhada;2024-12-03;35.4;23.9;29.2;0.7
Serra Talhada;2024-12-04;32.9;23.6;27.3;1.7
Serra Talhada;2024-12-05;32.9;22.4;27.6;0.1
Serra Talhada;2024-12-06;34.7;22.0;27.5;0.9
Serra Talhada;2024-12-07;34.0;23.5;28.1;0.2
Serra Talhada;2024-12-08;35.4;23.1;29.3;0.0
Serra Talhada;2024-12-09;35.5;23.2;29.6;0.0
Serra Talhada;2024-12-10;34.7;22.2;28.7;0.0
Serra Talhada;2024-12-11;35.1;22.1;29.0;0.0
Serra Talhada;2024-12-12;36.8;23.6;30.5;0.0
Serra Talhada;2024-12-13;35.5;22.8;29.4;0.0
Serra Talhada;2024-12-14;34.9;22.5;;
Serra Talhada;2024-12-15;;;;
Serra Talhada;2024-12-16;;;;
Salgueiro;2024-10-17;33.1;24.2;28.7;1.0
Salgueiro;2024-10-18;31.2;23.9;27.3;0.7
Salgueiro;2024-10-19;34.4;25.3;29.4;0.2
Salgueiro;2024-10-20;34.3;24.3;29.5;0.0
Salgueiro;2024-10-21;35.6;23.6;29.9;0.0
Salgueiro;2024-10-22;35.7;22.8;29.0;0.0
Salgueiro;2024-10-23;34.5;21.4;28.0;0.0
Salgueiro;2024-10-24;35.1;22.7;28.7;0.0
Salgueiro;2024-10-25;36.0;23.2;29.6;0.0
Salgueiro;2024-10-26;36.9;23.0;30.5;0.0
Salgueiro;2024-10-27;36.9;24.0;31.0;0.0
Salgueiro;2024-10-28;36.1;24.9;30.1;0.0
Salgueiro;2024-10-29;35.1;21.9;28.9;0.0
Salgueiro;2024-10-30;35.9;23.1;29.9;0.0
Salgueiro;2024-10-31;35.8;23.2;30.2;0.0
Salgueiro;2024-11-01;36.3;24.7;30.4;0.0
Salgueiro;2024-11-02;35.2;23.4;29.4;0.3
Salgueiro;2024-11-03;35.8;23.1;29.4;0.0
Salgueiro;2024-11-04;35.9;23.2;29.4;0.0
Salgueiro;2024-11-05;35.7;22.0;28.9;0.0
Salgueiro;2024-11-06;36.1;22.9;29.3;0.0
Salgueiro;2024-11-07;35.3;23.2;29.4;0.0
Salgueiro;2024-11-08;36.8;23.7;30.7;0.0
Salgueiro;2024-11-09;36.6;25.0;31.3;0.0
Salgueiro;2024-11-10;37.1;24.7;31.3;0.0
Salgueiro;2024-11-11;35.5;25.4;29.8;0.1
Salgueiro;2024-11-12;31.1;22.2;26.1;6.0
Salgueiro;2024-11-13;33.4;23.6;28.1;0.3
Salgueiro;2024-11-14;35.1;23.3;29.2;0.0
Salgueiro;2024-11-15;35.0;22.8;28.6;0.0
Salgueiro;2024-11-16;35.4;22.0;28.6;0.0
Salgueiro;2024-11-17;34.7;22.5;28.9;0.0
Salgueiro;2024-11-18;36.2;22.8;29.4;0.0
Salgueiro;2024-11-19;35.6;24.8;30.4;0.0
Salgueiro;2024-11-20;36.6;24.8;30.7;0.5
Salgueiro;2024-11-21;36.0;25.6;31.2;0.0
Salgueiro;2024-11-22;36.0;24.5;30.9;0.0
Salgueiro;2024-11-23;37.3;23.9;30.9;0.0
Salgueiro;2024-11-24;35.6;24.8;30.2;0.0
Salgueiro;2024-11-25;29.9;23.1;25.9;9.6
Salgueiro;2024-11-26;33.2;23.3;27.3;0.6
Salgueiro;2024-11-27;34.1;22.6;28.1;0.0
Salgueiro;2024-11-28;37.0;23.5;30.1;0.0
Salgueiro;2024-11-29;36.9;23.9;30.4;0.0
Salgueiro;2024-11-30;37.1;24.5;30.5;0.0
Salgueiro;2024-12-01;36.6;24.1;30.7;0.0
Salgueiro;2024-12-02;36.1;23.4;30.6;0.2
Salgueiro;2024-12-03;34.7;23.2;29.1;1.1
Salgueiro;2024-12-04;33.8;23.1;27.4;1.1
Salgueiro;2024-12-05;30.5;21.7;26.3;0.3
Salgueiro;2024-12-06;34.3;22.8;28.3;0.0
Salgueiro;2024-12-07;32.6;24.5;28.6;0.0
Salgueiro;2024-12-08;31.5;23.4;27.4;4.4
Salgueiro;2024-12-09;35.3;23.9;29.4;0.0
Salgueiro;2024-12-10;36.1;23.2;29.4;0.0
Salgueiro;2024-12-11;35.1;23.8;29.8;0.0
Salgueiro;2024-12-12;37.1;24.9;31.1;0.0
Salgueiro;2024-12-13;36.1;25.2;30.4;0.0
Salgueiro;2024-12-14;34.6;23.0;;
Salgueiro;2024-12-15;;;;
Salgueiro;2024-12-16;;;;
Araripina;2024-10-17;32.2;22.9;27.6;1.0
Araripina;2024-10-18;30.6;22.7;26.5;0.0
Araripina;2024-10-19;32.6;23.0;27.3;0.7
Araripina;2024-10-20;30.9;22.3;26.8;1.3
Araripina;2024-10-21;34.5;22.0;27.8;0.0
Araripina;2024-10-22;33.6;21.7;27.6;0.0
Araripina;2024-10-23;33.2;20.8;27.0;0.0
Araripina;2024-10-24;33.9;21.8;27.9;0.0
Araripina;2024-10-25;34.1;21.8;28.5;0.0
Araripina;2024-10-26;35.8;21.5;29.3;0.0
Araripina;2024-10-27;35.7;21.4;29.3;0.0
Araripina;2024-10-28;33.5;24.2;28.9;0.3
Araripina;2024-10-29;33.4;21.8;27.7;0.0
Araripina;2024-10-30;34.3;21.9;28.7;0.0
Araripina;2024-10-31;33.5;22.2;28.6;0.3
Araripina;2024-11-01;33.8;23.1;29.1;0.6
Araripina;2024-11-02;34.3;23.7;28.7;0.1
Araripina;2024-11-03;34.1;23.0;28.8;0.0
Araripina;2024-11-04;34.7;22.7;28.9;0.0
Araripina;2024-11-05;33.9;21.4;28.1;0.0
Araripina;2024-11-06;34.0;22.0;28.4;0.0
Araripina;2024-11-07;33.6;22.6;28.4;0.0
Araripina;2024-11-08;34.9;21.9;29.4;0.0
Araripina;2024-11-09;35.1;22.6;29.7;0.2
Araripina;2024-11-10;35.7;22.4;29.7;1.0
Araripina;2024-11-11;29.7;22.8;26.0;0.9
Araripina;2024-11-12;29.7;22.6;25.3;0.2
Araripina;2024-11-13;32.3;21.7;24.9;11.5
Araripina;2024-11-14;31.5;21.5;26.2;0.3
Araripina;2024-11-15;31.4;20.6;26.1;0.0
Araripina;2024-11-16;31.4;20.7;25.8;0.0
Araripina;2024-11-17;32.2;21.0;26.4;0.0
Araripina;2024-11-18;32.0;21.0;26.9;0.0
Araripina;2024-11-19;33.0;22.5;27.9;0.2
Araripina;2024-11-20;33.1;22.4;28.2;0.1
Araripina;2024-11-21;32.9;22.1;28.2;0.3
Araripina;2024-11-22;34.5;21.9;28.4;0.2
Araripina;2024-11-23;34.2;22.1;28.4;0.0
Araripina;2024-11-24;33.3;23.6;28.2;0.4
Araripina;2024-11-25;29.9;21.7;25.4;2.0
Araripina;2024-11-26;30.3;21.3;25.3;0.7
Araripina;2024-11-27;31.8;21.0;26.2;0.3
Araripina;2024-11-28;34.0;20.7;27.7;0.0
Araripina;2024-11-29;34.7;21.0;28.2;0.0
Araripina;2024-11-30;34.2;22.0;28.4;0.0
Araripina;2024-12-01;33.9;21.9;28.4;0.0
Araripina;2024-12-02;33.6;22.4;28.4;0.1
Araripina;2024-12-03;31.3;21.7;27.0;3.2
Araripina;2024-12-04;29.9;20.6;25.3;4.2
Araripina;2024-12-05;29.8;20.2;24.3;12.1
Araripina;2024-12-06;30.4;20.8;25.3;0.1
Araripina;2024-12-07;29.0;21.8;25.1;0.2
Araripina;2024-12-08;31.9;20.7;25.2;1.2
Araripina;2024-12-09;30.8;21.7;26.1;0.3
Araripina;2024-12-10;32.1;20.9;26.2;0.0
Araripina;2024-12-11;32.2;21.2;26.6;0.3
Araripina;2024-12-12;34.5;21.9;28.3;0.0
Araripina;2024-12-13;32.6;22.9;27.9;0.1
Araripina;2024-12-14;33.3;21.7;;
Araripina;2024-12-15;;;;
Araripina;2024-12-16;;;;
Goiana;2024-10-17;31.4;22.8;26.7;0.2
Goiana;2024-10-18;30.3;23.6;26.5;0.3
Goiana;2024-10-19;30.9;23.3;26.5;0.5
Goiana;2024-10-20;30.8;23.1;26.6;0.9
Goiana;2024-10-21;31.0;23.2;26.3;2.5
Goiana;2024-10-22;31.1;22.0;26.2;1.1
Goiana;2024-10-23;29.8;21.4;25.6;0.7
Goiana;2024-10-24;28.6;22.8;25.7;0.7
Goiana;2024-10-25;31.3;22.6;26.3;0.0
Goiana;2024-10-26;30.9;22.6;26.2;0.2
Goiana;2024-10-27;31.6;23.6;27.0;1.5
Goiana;2024-10-28;31.5;23.1;26.6;1.9
Goiana;2024-10-29;30.0;22.5;25.8;1.0
Goiana;2024-10-30;29.7;21.5;25.6;0.4
Goiana;2024-10-31;30.4;23.1;26.4;1.1
Goiana;2024-11-01;30.8;23.2;26.4;0.4
Goiana;2024-11-02;29.9;22.9;26.0;0.6
Goiana;2024-11-03;30.7;22.9;26.3;0.2
Goiana;2024-11-04;30.6;22.6;26.3;0.2
Goiana;2024-11-05;30.9;22.4;26.2;1.6
Goiana;2024-11-06;29.8;22.3;25.9;1.3
Goiana;2024-11-07;30.0;23.1;26.3;0.3
Goiana;2024-11-08;30.9;23.5;26.5;3.3
Goiana;2024-11-09;30.7;22.6;26.1;2.9
Goiana;2024-11-10;30.9;22.6;26.2;1.3
Goiana;2024-11-11;30.3;22.8;26.3;0.4
Goiana;2024-11-12;31.9;22.2;26.7;1.6
Goiana;2024-11-13;32.5;23.6;27.2;0.3
Goiana;2024-11-14;31.8;23.2;26.8;1.1
Goiana;2024-11-15;31.6;22.9;26.8;0.2
Goiana;2024-11-16;31.6;22.7;26.9;0.3
Goiana;2024-11-17;31.8;23.2;26.8;1.2
Goiana;2024-11-18;31.4;23.5;26.7;0.6
Goiana;2024-11-19;31.2;22.7;26.8;1.6
Goiana;2024-11-20;32.3;23.3;27.3;0.1
Goiana;2024-11-21;31.0;23.6;27.0;0.3
Goiana;2024-11-22;33.2;23.7;27.6;0.0
Goiana;2024-11-23;32.5;23.4;27.5;0.1
Goiana;2024-11-24;32.2;23.5;27.8;0.4
Goiana;2024-11-25;32.3;24.5;27.6;0.5
Goiana;2024-11-26;32.2;23.6;27.3;0.3
Goiana;2024-11-27;31.7;22.8;27.0;0.0
Goiana;2024-11-28;31.6;23.1;26.9;0.3
Goiana;2024-11-29;31.8;23.3;26.9;0.7
Goiana;2024-11-30;32.3;23.5;27.1;0.3
Goiana;2024-12-01;31.5;21.7;26.8;0.7
Goiana;2024-12-02;31.9;24.0;26.6;1.8
Goiana;2024-12-03;31.2;23.0;26.4;4.7
Goiana;2024-12-04;31.5;22.9;26.7;0.9
Goiana;2024-12-05;32.8;23.2;27.3;0.1
Goiana;2024-12-06;30.4;23.5;26.7;1.9
Goiana;2024-12-07;30.6;23.0;26.7;0.9
Goiana;2024-12-08;31.6;23.2;26.9;1.0
Goiana;2024-12-09;31.2;23.2;27.0;0.3
Goiana;2024-12-10;31.5;23.1;27.1;0.6
Goiana;2024-12-11;31.6;23.8;27.2;2.5
Goiana;2024-12-12;32.9;24.1;27.6;1.9
Goiana;2024-12-13;32.4;23.6;27.6;0.1
Goiana;2024-12-14;31.7;24.1;;
Goiana;2024-12-15;;;;
Goiana;2024-12-16;;;;
